video_url,video_id,video_title,author_name,video_category,comment_id,comment_text,comment_category,comment_time,like_count,reply_count,parent_comment_id,comment_level,user_name,crawl_time
https://v.douyin.com/VbdgIrHokHM/ 12/04 :5pm XMJ:/ J@V.Lw,7675895658934586664,为什么说那年你雷神叔叔选择了弹幕最多的救场方式 #雷神 #复仇者联盟 #漫威 #充能计划,私藏月色i,其他,,索尔这种人最精了，一句众神之父赐我力量就上了，也不管赐没赐。,其他,3周前·浙江,1.0万,,,一级评论,user_f9def875838373d0,2026-09-11T13:26:20+08:00
https://v.douyin.com/VbdgIrHokHM/ 12/04 :5pm XMJ:/ J@V.Lw,7675895658934586664,为什么说那年你雷神叔叔选择了弹幕最多的救场方式 #雷神 #复仇者联盟 #漫威 #充能计划,私藏月色i,其他,,一种信仰,其他,3周前·北京,1342,,,一级评论,user_40ca9df9ee175b69,2026-09-11T13:26:20+08:00
https://v.douyin.com/VbdgIrHokHM/ 12/04 :5pm XMJ:/ J@V.Lw,7675895658934586664,为什么说那年你雷神叔叔选择了弹幕最多的救场方式 #雷神 #复仇者联盟 #漫威 #充能计划,私藏月色i,其他,,问题是奥丁真有奥丁之力和卢恩符文，只要你奥丁想就能赐福，奥丁死了世界树也能给阿斯加德王族附魔,其他,2周前·吉林,466,,,一级评论,user_3669b07ebb84b241,2026-09-11T13:26:20+08:00
https://v.douyin.com/VbdgIrHokHM/ 12/04 :5pm XMJ:/ J@V.Lw,7675895658934586664,为什么说那年你雷神叔叔选择了弹幕最多的救场方式 #雷神 #复仇者联盟 #漫威 #充能计划,私藏月色i,其他,,纯劲儿大,其他,3周前·吉林,484,,,一级评论,user_fec18cd486255dac,2026-09-11T13:26:20+08:00
https://v.douyin.com/VbdgIrHokHM/ 12/04 :5pm XMJ:/ J@V.Lw,7675895658934586664,为什么说那年你雷神叔叔选择了弹幕最多的救场方式 #雷神 #复仇者联盟 #漫威 #充能计划,私藏月色i,其他,,不要忘了你雷神叔叔是个神,其他,3周前·四川,7014,42,,一级评论,user_2e6c39241c0e131b,2026-09-11T13:26:20+08:00
https://v.douyin.com/VbdgIrHokHM/ 12/04 :5pm XMJ:/ J@V.Lw,7675895658934586664,为什么说那年你雷神叔叔选择了弹幕最多的救场方式 #雷神 #复仇者联盟 #漫威 #充能计划,私藏月色i,其他,,最强复仇者毋庸置疑,其他,3周前·广东,2393,,,一级评论,user_d8913412a7abbf43,2026-09-11T13:26:20+08:00
https://v.douyin.com/VbdgIrHokHM/ 12/04 :5pm XMJ:/ J@V.Lw,7675895658934586664,为什么说那年你雷神叔叔选择了弹幕最多的救场方式 #雷神 #复仇者联盟 #漫威 #充能计划,私藏月色i,其他,,就看过一部吧,其他,3周前·辽宁,38,,,一级评论,user_46efdcb7b90df0fa,2026-09-11T13:26:20+08:00
https://v.douyin.com/VbdgIrHokHM/ 12/04 :5pm XMJ:/ J@V.Lw,7675895658934586664,为什么说那年你雷神叔叔选择了弹幕最多的救场方式 #雷神 #复仇者联盟 #漫威 #充能计划,私藏月色i,其他,,惊队还在外星，女巫还没觉醒，奇异博士单挑也没打过灭霸，说是当时最强其实也可以,其他,3周前·海南,544,,,一级评论,user_33027a4420444f7f,2026-09-11T13:26:20+08:00
https://v.douyin.com/VbdgIrHokHM/ 12/04 :5pm XMJ:/ J@V.Lw,7675895658934586664,为什么说那年你雷神叔叔选择了弹幕最多的救场方式 #雷神 #复仇者联盟 #漫威 #充能计划,私藏月色i,其他,,这一部确实是最强,其他,3周前·陕西,348,,,一级评论,user_47163103a476ea23,2026-09-11T13:26:20+08:00
https://v.douyin.com/VbdgIrHokHM/ 12/04 :5pm XMJ:/ J@V.Lw,7675895658934586664,为什么说那年你雷神叔叔选择了弹幕最多的救场方式 #雷神 #复仇者联盟 #漫威 #充能计划,私藏月色i,其他,,这时期的雷神绝对天父级别，这表现力绝了，秒6宝石灭霸,其他,3周前·湖南,7912,113,,一级评论,user_bdbb951ab6c595d7,2026-09-11T13:26:20+08:00
https://v.douyin.com/VbdgIrHokHM/ 12/04 :5pm XMJ:/ J@V.Lw,7675895658934586664,为什么说那年你雷神叔叔选择了弹幕最多的救场方式 #雷神 #复仇者联盟 #漫威 #充能计划,私藏月色i,其他,,为什么彩虹桥不送雷神,其他,17小时前·江苏,0,,,一级评论,user_1fd3060c379f5caf,2026-09-11T13:26:20+08:00
https://v.douyin.com/VbdgIrHokHM/ 12/04 :5pm XMJ:/ J@V.Lw,7675895658934586664,为什么说那年你雷神叔叔选择了弹幕最多的救场方式 #雷神 #复仇者联盟 #漫威 #充能计划,私藏月色i,其他,,此时的雷神已经天下无敌了,其他,3周前·天津,2665,23,,一级评论,user_8ea7f8f911148a33,2026-09-11T13:26:20+08:00
